,Unnamed: 0,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information,embeddings,similarities
85,85,EPS/XPS insulation - 72 mm (R2),m²,251,1 362,12.9,http://doi.org/10.26188/5da556cc242c5,"[ 0.00858219  0.00946428 -0.02375688 ... -0.00145247 -0.01200445
 -0.02614451]",0.7524802101970056
86,86,EPS/XPS insulation - 90 mm (R2.5),m²,314,1 703,16.2,http://doi.org/10.26188/5da556cc242c5,"[ 0.006054    0.00480225 -0.02108497 ... -0.00792668 -0.01578731
 -0.03350344]",0.7537872206889641
87,87,Polyurethane (PU) rigid foam insulation,kg,293,690,17.5,http://doi.org/10.26188/5da556ef90771,"[ 0.00935673 -0.00771613 -0.01231113 ... -0.01122407 -0.00625227
 -0.02782343]",0.7760939373176398
88,88,PU rigid foam insulation - 44 mm (R2),m²,387,911,23.1,http://doi.org/10.26188/5da556ef90771,"[ 0.01100681  0.00739572 -0.02344204 ... -0.00728225 -0.02420297
 -0.02561803]",0.753893815919489
89,89,PU rigid foam insulation - 55 mm (R2.5),m²,484,1 138,28.8,http://doi.org/10.26188/5da556ef90771,"[ 0.01103077  0.01598895 -0.02015302 ... -0.00606926 -0.01430731
 -0.02554495]",0.7535782260676249
90,90,Aluminium bar,kg,345,219,29.6,http://doi.org/10.26188/5da5519635948,"[-0.01058126 -0.01016142 -0.02355036 ... -0.02407516 -0.00603519
 -0.01342174]",0.7725120260499644
91,91,Aluminium bar flat - 12 mm × 3mm,m,33.7,21.3,2.9,http://doi.org/10.26188/5da5519635948,"[-0.00907318  0.00286921 -0.02304613 ... -0.01599362 -0.00640867
 -0.03114199]",0.7343397186237983
92,92,Aluminium bar flat - 40 mm × 3mm,m,112,71.2,9.6,http://doi.org/10.26188/5da5519635948,"[-0.00693252 -0.00557944 -0.0145334  ... -0.02217359 -0.00253089
 -0.02400828]",0.7391988919180437
93,93,Aluminium bar flat - 100 mm × 6mm,m,562,356,48.2,http://doi.org/10.26188/5da5519635948,"[-0.00145926 -0.01021315 -0.01504334 ... -0.03090269 -0.00372793
 -0.02513805]",0.7360705405254732
94,94,Aluminium bar round - 16 mm dia.,m,188,119,16.2,http://doi.org/10.26188/5da5519635948,"[-0.00546236  0.00186456 -0.00490759 ... -0.02035255 -0.00799658
 -0.01881626]",0.7399333763093485
95,95,Aluminium bar round - 50 mm dia.,m,1 838,1 164,158,http://doi.org/10.26188/5da5519635948,"[ 0.00036155 -0.00532238 -0.0225619  ... -0.01711818 -0.01183188
 -0.01133342]",0.7415415647503365
96,96,Aluminium bar round - 150 mm dia.,m,16 542,10 479,1 420,http://doi.org/10.26188/5da5519635948,"[-0.00034692  0.00467414 -0.01553032 ... -0.01903675 -0.00923053
 -0.01941617]",0.7378750127044141
97,97,Aluminium composite panel,m²,1 196,1 174,102,http://doi.org/10.26188/5da551a4afce4,"[-0.01162881  0.00472462 -0.01885896 ... -0.00860638 -0.00848127
 -0.00625559]",0.7946482659682722
98,98,Aluminium extruded,kg,358,182,29.4,http://doi.org/10.26188/5da551b3248d5,"[-0.01964057  0.00391889 -0.02458035 ... -0.01910049 -0.00856229
 -0.00716598]",0.7879878421514172
