Category,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information
Plastics,Polymethyl methacrylate (PMMA),kg,230,215,15.4,http://doi.org/10.26188/5da556a82dd9d
Plastics,PMMA sheet - 3 mm,m²,822,768,54.9,http://doi.org/10.26188/5da556a82dd9d
Plastics,PMMA sheet - 4 mm,m²,1 096,1 023,73.2,http://doi.org/10.26188/5da556a82dd9d
Plastics,PMMA sheet - 5 mm,m²,1 370,1 279,91.4,http://doi.org/10.26188/5da556a82dd9d
Plastics,PMMA sheet - 6 mm,m²,1 644,1 535,110,http://doi.org/10.26188/5da556a82dd9d
Plastics,PMMA sheet - 8 mm,m²,2 192,2 047,146,http://doi.org/10.26188/5da556a82dd9d
Plastics,PMMA sheet - 10 mm,m²,2 740,2 558,183,http://doi.org/10.26188/5da556a82dd9d
Plastics,Polypropylene (PP) sheet,kg,159,186,7.4,http://doi.org/10.26188/5da556bad2165
Plastics,PP sheet - 2 mm,m²,287,335,13.4,http://doi.org/10.26188/5da556bad2165
Plastics,PP sheet - 3 mm,m²,431,502,20,http://doi.org/10.26188/5da556bad2165
Plastics,PP sheet - 4 mm,m²,574,670,26.7,http://doi.org/10.26188/5da556bad2165
Plastics,PP sheet - 6 mm,m²,861,1 005,40.1,http://doi.org/10.26188/5da556bad2165
Plastics,PP sheet - 10 mm,m²,1 435,1 675,66.8,http://doi.org/10.26188/5da556bad2165
Plastics,PP sheet - 12 mm,m²,1 722,2 010,80.2,http://doi.org/10.26188/5da556bad2165
Plastics,PP sheet - 15 mm,m²,2 153,2 512,100,http://doi.org/10.26188/5da556bad2165
Plastics,Polyurethane (PU) flexible foam,kg,127,443,7.7,http://doi.org/10.26188/5da556dde71cd
Plastics,"PU foam underlay - 7 mm, 64 kg/m³",m²,56.8,198,3.4,http://doi.org/10.26188/5da556dde71cd
Plastics,"PU foam underlay - 7 mm, 69 kg/m³",m²,61.4,214,3.7,http://doi.org/10.26188/5da556dde71cd
Plastics,"PU foam underlay - 10 mm, 73 kg/m³",m²,92.5,323,5.6,http://doi.org/10.26188/5da556dde71cd
Plastics,"PU foam underlay - 10 mm, 123 kg/m³",m²,156,543,9.4,http://doi.org/10.26188/5da556dde71cd
Plastics,Polyvinyl chloride (PVC) film,kg,190,758,11.2,http://doi.org/10.26188/5da5571457bf1
Plastics,PVC film - 19 μm,m²,5,20,0.3,http://doi.org/10.26188/5da5571457bf1
Plastics,PVC film - 25 μm,m²,6.6,26.3,0.39,http://doi.org/10.26188/5da5571457bf1
Plastics,Unplasticised polyvinyl chloride (uPVC),kg,76.3,561,4.2,http://doi.org/10.26188/5da558ad914dc
Plastics,"uPVC pipe - 21.35 mm outer dia., 1.8 mm thick",m,11.7,86.2,0.64,http://doi.org/10.26188/5da558ad914dc
Plastics,"uPVC pipe - 60.25 mm outer dia., 2.6 mm thick",m,50,367,2.7,http://doi.org/10.26188/5da558ad914dc
Plastics,"uPVC pipe - 114.3 mm outer dia., 4.85 mm thick",m,177,1 301,9.7,http://doi.org/10.26188/5da558ad914dc
Plastics,"uPVC pipe - 225.3 mm outer dia., 11.1 mm thick",m,792,5 826,43.2,http://doi.org/10.26188/5da558ad914dc
