Name,Category,Category,Locked,Deletable,Id,Family and Type,Family,Type,Family Name,Type Id,PLR_Asset_Name,PLR_Location_Code,PLR_Instance_Number,PLR_Parent_Uniclass_ID,PLR_Parent_Uniclass_Descr.,Image,Keynote,Design Option,Design Option,Model,Manufacturer,Comments,URL,Description,Assembly Description,Assembly Code,Edited by,Workset,Type Name,Cost,Mark,Properties,Subclass,Class,Grade,Species,Thermal expansion coefficient,Bending,Shear modulus,Poisson ratio,Tension perpendicular to grain,Shear parallel to grain,Compression perpendicular to grain,Compression parallel to grain,Young modulus,Material Type,Name,Lightweight,Behavior,Resistance calculation strength,Reduction factor for shear,Minimum tensile strength,Minimum yield stress,Shear strength modification,Shear reinforcement yield stress,Bending reinforcement,Concrete compression,Thermal expansion coefficient Z,Thermal expansion coefficient Y,Thermal expansion coefficient X,Unit weight,Shear modulus Z,Shear modulus Y,Shear modulus X,Poisson ratio Z,Poisson ratio Y,Poisson ratio X,Young modulus Z,Young modulus Y,Young modulus X,Shininess,Smoothness,Glow,Transparency,Color,Phase Demolished,Phase Created
Blockwork (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742231,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,EWS-101,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Blockwork (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"151,151,140",Revit Element : <None>,Revit Element : <None>
Concrete Precast (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742232,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Concrete Precast (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"146,146,143",Revit Element : <None>,Revit Element : <None>
Metal Stud (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742233,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,FRM-101,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Metal Stud (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"120,120,120",Revit Element : <None>,Revit Element : <None>
Plasterboard (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742234,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,ILS-101,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Plasterboard (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"221,221,219",Revit Element : <None>,Revit Element : <None>
Fence Chainwire (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742237,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,FEN.,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Fence Chainwire (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,70,"255,255,255",Revit Element : <None>,Revit Element : <None>
Fence Timber (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742238,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,FEN.,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Fence Timber (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"191,159,127",Revit Element : <None>,Revit Element : <None>
Tiles 100 x 100 (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742239,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,ILS-402,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Tiles 100 x 100 (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"231,231,231",Revit Element : <None>,Revit Element : <None>
Paint Matte White (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742242,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,PT1,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Paint Matte White (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"255,255,255",Revit Element : <None>,Revit Element : <None>
Plasterboard Fire Rated (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742244,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,ILS-103,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Plasterboard Fire Rated (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"221,221,219",Revit Element : <None>,Revit Element : <None>
Plasterboard Acoustic Rated (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3742245,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,ILS-104,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,Plasterboard Acoustic Rated (Cox),FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50,FALSE,0,"221,221,219",Revit Element : <None>,Revit Element : <None>
Electrical Load Zones,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3754276,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,,,-1,,0,,,0,0,76904122.85,0.3,0,0,0,0,199947961.5,0,Electrical Load Zones,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,76904122.85,76904122.85,76904122.85,0.3,0.3,0.3,199947961.5,199947961.5,199947961.5,64,50,FALSE,50,"94,94,205",Revit Element : <None>,Revit Element : <None>
Asphalt Paint Matte White (Cox),Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,3759242,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,Boral,Road Material,http://www.boral.com.au/BDP/products/asphalt.asp?AUD=b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
